site_slug,site_title,category,category_slug,asset_name,asset_slug,kind,width,height,prompt,negative_prompt,notes,output_folder,output_base
pickle_book,Pickle Book Website Graphics,Branding,branding,Primary logo,primary-logo,logo,512,512,"educational brand mark, pickle book website, primary logo, fresh green accent, clean vector shape, friendly design, simple silhouette, logo concept, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",Add final logo typography later in a vector editor.,generated/pickle_book/branding,primary-logo
pickle_book,Pickle Book Website Graphics,Branding,branding,Horizontal logo,horizontal-logo,horizontal_logo,768,448,"educational brand mark, pickle book website, horizontal logo, fresh green accent, clean vector shape, friendly design, simple silhouette, logo concept, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",Add final logo typography later in a vector editor.,generated/pickle_book/branding,horizontal-logo
pickle_book,Pickle Book Website Graphics,Branding,branding,Simplified logo mark,simplified-logo-mark,logo,512,512,"educational brand mark, pickle book website, simplified logo mark, fresh green accent, clean vector shape, friendly design, simple silhouette, logo concept, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",Add final logo typography later in a vector editor.,generated/pickle_book/branding,simplified-logo-mark
pickle_book,Pickle Book Website Graphics,Branding,branding,Favicon,favicon,favicon,256,256,"educational brand mark, pickle book website, favicon, fresh green accent, clean vector shape, friendly design, simple silhouette, logo concept, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",Add final logo typography later in a vector editor.,generated/pickle_book/branding,favicon
pickle_book,Pickle Book Website Graphics,Branding,branding,Social-sharing image,social-sharing-image,social_card,640,336,"educational website graphic, social sharing image, pickle book, chibi pickle, clean outlines, fresh green accents, reading platform style, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/branding,social-sharing-image
pickle_book,Pickle Book Website Graphics,Branding,branding,Default book-cover graphic,default-book-cover-graphic,book_cover,512,768,"educational website graphic, default book cover graphic, pickle book, chibi pickle, clean outlines, fresh green accents, reading platform style, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/branding,default-book-cover-graphic
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle reading a book,pickle-reading-a-book,sticker,512,512,"chibi pickle sticker, pickle reading a book, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-reading-a-book
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle holding a pencil,pickle-holding-a-pencil,sticker,512,512,"chibi pickle sticker, pickle holding a pencil, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-holding-a-pencil
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle writing,pickle-writing,sticker,512,512,"chibi pickle sticker, pickle writing, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-writing
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle wearing glasses,pickle-wearing-glasses,sticker,512,512,"chibi pickle sticker, pickle wearing glasses, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-wearing-glasses
